model	rho	rep	v_recovery	parcel	kappa
MixVMF (K = 11)	0.2	8	0.9935351610183716	3	11.948941230773926
MixVMF (K = 11)	0.2	8	0.9935351610183716	4	11.948941230773926
MixVMF (K = 11)	0.2	8	0.9935351610183716	5	11.948941230773926
MixVMF (K = 11)	0.2	8	0.9935351610183716	6	11.948941230773926
MixVMF (K = 11)	0.2	8	0.9935351610183716	7	11.948941230773926
MixVMF (K = 11)	0.2	8	0.9935351610183716	8	11.948941230773926
MixVMF (K = 11)	0.2	8	0.9935351610183716	9	11.948941230773926
MixVMF (K = 11)	0.2	8	0.9935351610183716	10	11.948941230773926
MixVMF (K = 11)	0.2	9	0.9953898191452026	0	11.526636123657227
MixVMF (K = 11)	0.2	9	0.9953898191452026	1	11.526636123657227
MixVMF (K = 11)	0.2	9	0.9953898191452026	2	11.526636123657227
MixVMF (K = 11)	0.2	9	0.9953898191452026	3	11.526636123657227
MixVMF (K = 11)	0.2	9	0.9953898191452026	4	11.526636123657227
MixVMF (K = 11)	0.2	9	0.9953898191452026	5	11.526636123657227
MixVMF (K = 11)	0.2	9	0.9953898191452026	6	11.526636123657227
MixVMF (K = 11)	0.2	9	0.9953898191452026	7	11.526636123657227
MixVMF (K = 11)	0.2	9	0.9953898191452026	8	11.526636123657227
MixVMF (K = 11)	0.2	9	0.9953898191452026	9	11.526636123657227
MixVMF (K = 11)	0.2	9	0.9953898191452026	10	11.526636123657227
MixVMF (K = 11)	0.2	10	0.9931456446647644	0	12.25469970703125
MixVMF (K = 11)	0.2	10	0.9931456446647644	1	12.25469970703125
MixVMF (K = 11)	0.2	10	0.9931456446647644	2	12.25469970703125
MixVMF (K = 11)	0.2	10	0.9931456446647644	3	12.25469970703125
MixVMF (K = 11)	0.2	10	0.9931456446647644	4	12.25469970703125
MixVMF (K = 11)	0.2	10	0.9931456446647644	5	12.25469970703125
MixVMF (K = 11)	0.2	10	0.9931456446647644	6	12.25469970703125
MixVMF (K = 11)	0.2	10	0.9931456446647644	7	12.25469970703125
MixVMF (K = 11)	0.2	10	0.9931456446647644	8	12.25469970703125
MixVMF (K = 11)	0.2	10	0.9931456446647644	9	12.25469970703125
MixVMF (K = 11)	0.2	10	0.9931456446647644	10	12.25469970703125
MixVMF (K = 11)	0.2	11	0.9935888051986694	0	12.051177978515625
MixVMF (K = 11)	0.2	11	0.9935888051986694	1	12.051177978515625
MixVMF (K = 11)	0.2	11	0.9935888051986694	2	12.051177978515625
MixVMF (K = 11)	0.2	11	0.9935888051986694	3	12.051177978515625
MixVMF (K = 11)	0.2	11	0.9935888051986694	4	12.051177978515625
MixVMF (K = 11)	0.2	11	0.9935888051986694	5	12.051177978515625
MixVMF (K = 11)	0.2	11	0.9935888051986694	6	12.051177978515625
MixVMF (K = 11)	0.2	11	0.9935888051986694	7	12.051177978515625
MixVMF (K = 11)	0.2	11	0.9935888051986694	8	12.051177978515625
MixVMF (K = 11)	0.2	11	0.9935888051986694	9	12.051177978515625
MixVMF (K = 11)	0.2	11	0.9935888051986694	10	12.051177978515625
MixVMF (K = 11)	0.2	12	0.9947088956832886	0	11.830410957336426
MixVMF (K = 11)	0.2	12	0.9947088956832886	1	11.830410957336426
MixVMF (K = 11)	0.2	12	0.9947088956832886	2	11.830410957336426
MixVMF (K = 11)	0.2	12	0.9947088956832886	3	11.830410957336426
MixVMF (K = 11)	0.2	12	0.9947088956832886	4	11.830410957336426
MixVMF (K = 11)	0.2	12	0.9947088956832886	5	11.830410957336426
